This series of tests:
 - does not reset random per test
 - shillPush is movie #2 (internalID: 2) - Jumanji (1995), shillNuke is movie #260 (internalID: 225) - Star Wars: Episode IV - A New Hope (1977)
 - uses predRand (srand = 100)
 - tests with 1, 5, 10, 20, 30, 50, 100, and 200 shills (with 610 real users - meaning 0.16%, 0.81%, 1.6%, 3.2%, 4.7%, 7.6%, 14.1%, 24.7%)
 - shills are never in test set
 - shillRandomAmount, shillPopularAmount = 15
 - shillProbeAmount = 5
 - Evaluates with RMSE, and SHE

1 SHILL - 0.16%
Shill Strategy                  Algorithm         RMSE (no shills)    SHE (no shills)      RMSE (with 1 shill)      SHE (with 1 shill)      ShillPush    ShillNuke       Effect (SHE)
SHILL_NAIVE_PUSH                user-user             0.986770              11                  0.986770                     11                 2           NA           None
SHILL_RANDOM_PUSH               user-user             0.987176              11                  0.987121                     11                 2           NA           None
SHILL_LOVE_HATE_PUSH            user-user             0.984624              8                   0.984556                     8                  2           NA           None
SHILL_BANDWAGON_PUSH            user-user             0.979551              16                  0.979529                     16                 2           NA           None
SHILL_POPULAR_PUSH              user-user             0.980745              21                  0.980484                     21                 2           NA           None
SHILL_REVERSE_BANDWAGON_PUSH    user-user                NA                 NA                     NA                        NA                 NA          NA           NA
SHILL_PROBE_PUSH                user-user             0.985663              8                   0.985546                     8                  2           NA           None

SHILL_NAIVE_NUKE                user-user             0.977404              370                 0.977404                     370                NA          255          None
SHILL_RANDOM_NUKE               user-user             0.989480              402                 0.989270                     404                NA          255          Opposite
SHILL_LOVE_HATE_NUKE            user-user             0.985802              391                 0.985565                     392                NA          255          Opposite
SHILL_BANDWAGON_NUKE            user-user             0.975631              421                 0.975551                     416                NA          255          Correct
SHILL_POPULAR_NUKE              user-user             0.993867              403                 0.993624                     403                NA          255          None
SHILL_REVERSE_BANDWAGON_NUKE    user-user             0.988067              423                 0.987590                     421                NA          255          Correct
SHILL_PROBE_NUKE                user-user             0.982659              389                 0.982442                     389                NA          255          None



5 SHILLS - 0.81%
Shill Strategy                  Algorithm         RMSE (no shills)    SHE (no shills)     RMSE (with 5 shills)     SHE (with 5 shills)      ShillPush    ShillNuke       Effect (SHE)
SHILL_NAIVE_PUSH                user-user             0.986770              11                  0.986770                     11                 2           NA           None
SHILL_RANDOM_PUSH               user-user             0.987176              11                  0.986890                     11                 2           NA           None
SHILL_LOVE_HATE_PUSH            user-user             0.985405              8                   0.985089                     9                  2           NA           Correct
SHILL_BANDWAGON_PUSH            user-user             0.980002              16                  0.976413                     16                 2           NA           None
SHILL_POPULAR_PUSH              user-user             0.977663              21                  0.965891                     22                 2           NA           Correct
SHILL_REVERSE_BANDWAGON_PUSH    user-user                NA                 NA                     NA                        NA                 NA          NA           NA
SHILL_PROBE_PUSH                user-user             0.989128              8                   0.988100                     8                  2           NA           Correct

